TransactionID,isFraud,TransactionAmt,ProductCD,card4,card6,TransactionHour,TransactionDayOfWeek,P_emaildomain,R_emaildomain,DeviceType,DeviceInfo,id_23,id_30,id_31,id_33,missing_addr1,missing_addr2,missing_dist1,distance_signal_bucket,has_identity_info,payment_identifier_familiarity_bucket
3459432,1,33.261,C,visa,debit,2.0,1.0,gmail.com,gmail.com,desktop,,,,chrome 65.0,,1,1,1,missing,1,common_frequently_observed
3459433,0,52.811,C,visa,debit,2.0,1.0,hotmail.fr,hotmail.fr,mobile,F3311,,,chrome generic for android,,1,1,1,missing,1,rare_unfamiliar
3459434,0,136.956,C,visa,debit,2.0,1.0,hotmail.com,hotmail.com,desktop,Windows,,,chrome 65.0,,1,1,1,missing,1,rare_unfamiliar
3459435,0,136.956,C,visa,debit,2.0,1.0,hotmail.com,hotmail.com,desktop,Windows,,,chrome 65.0,,1,1,1,missing,1,common_frequently_observed
3459436,0,25.0,H,visa,debit,2.0,1.0,outlook.com,,desktop,Windows,,Windows 10,firefox 59.0,3200x1800,0,0,1,missing,1,common_frequently_observed
3459437,0,23.362,C,visa,credit,3.0,1.0,hotmail.com,hotmail.com,desktop,Windows,,,chrome,,1,1,1,missing,1,common_frequently_observed
3459438,0,326.29,W,visa,debit,3.0,1.0,,,,,,,,,0,0,0,small,0,rare_unfamiliar
3459439,0,34.0,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,0,small,0,common_frequently_observed
3459440,0,50.0,W,visa,debit,3.0,1.0,aol.com,,,,,,,,0,0,0,small,0,common_frequently_observed
3459441,0,67.95,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459442,0,24.0,W,mastercard,credit,3.0,1.0,,,,,,,,,0,0,0,medium,0,common_frequently_observed
3459443,0,30.248,C,visa,debit,3.0,1.0,hotmail.com,hotmail.com,mobile,SM-G610M Build/MMB29K,,,chrome generic for android,,1,1,1,missing,1,common_frequently_observed
3459444,0,20.0,W,mastercard,credit,3.0,1.0,,,,,,,,,0,0,0,medium,0,common_frequently_observed
3459445,0,305.0,W,visa,credit,3.0,1.0,msn.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459446,0,21.948,C,visa,credit,3.0,1.0,hotmail.com,hotmail.com,desktop,Windows,,,chrome,,1,1,1,missing,1,common_frequently_observed
3459447,0,47.95,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459448,0,58.95,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,0,medium,0,common_frequently_observed
3459449,0,34.5,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,somewhat_familiar
3459450,0,49.0,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459451,0,29.0,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459452,0,29.95,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,0,small,0,common_frequently_observed
3459453,0,54.5,W,visa,credit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,rare_unfamiliar
3459454,0,46.5,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459455,0,31.95,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,0,medium,0,common_frequently_observed
3459456,0,206.0,W,mastercard,debit,3.0,1.0,,,,,,,,,0,0,0,large,0,rare_unfamiliar
3459457,0,58.95,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459458,0,100.0,R,visa,credit,3.0,1.0,yahoo.com,yahoo.com,mobile,iOS Device,,iOS 10.3.3,mobile safari generic,2048x1536,0,0,1,missing,1,common_frequently_observed
3459459,0,32.97,W,mastercard,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459460,0,28.773,C,mastercard,credit,3.0,1.0,hotmail.com,hotmail.com,desktop,,,,chrome 65.0,,1,1,1,missing,1,somewhat_familiar
3459461,0,35.95,W,mastercard,debit,3.0,1.0,gmail.com,,,,,,,,0,0,0,small,0,rare_unfamiliar
3459462,0,10.329,C,mastercard,debit,3.0,1.0,hotmail.com,hotmail.com,mobile,,,,mobile safari generic,,1,1,1,missing,1,common_frequently_observed
3459463,0,57.95,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,0,medium,0,common_frequently_observed
3459464,0,67.95,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,0,small,0,somewhat_familiar
3459465,0,25.95,W,visa,debit,3.0,1.0,hotmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459466,0,117.0,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,somewhat_familiar
3459467,0,34.0,W,visa,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,0,medium,0,common_frequently_observed
3459468,1,49.0,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459469,0,191.0,W,visa,debit,3.0,1.0,hotmail.com,,,,,,,,0,0,0,small,0,somewhat_familiar
3459470,0,117.0,W,mastercard,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,somewhat_familiar
3459471,0,57.95,W,mastercard,debit,3.0,1.0,yahoo.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459472,0,13.0,W,visa,debit,3.0,1.0,gmail.com,,,,,,,,0,0,1,missing,0,common_frequently_observed
3459473,0,31.232,C,mastercard,credit,3.0,1.0,anonymous.com,anonymous.com,desktop,Trident/7.0,,,ie 11.0 for desktop,,1,1,1,missing,1,somewhat_familiar
