feature,importance
R_email_suffix,381098.8345813751
TransactionAmt,334439.03692245483
email_mismatch_ProductCD,242793.93438529968
amount_cents,200796.3202712536
P_email_provider,168754.96621322632
amount_decimal,123268.3396859169
card6,117342.54845094681
TransactionHour,109427.76273465157
R_email_provider,90619.29898428917
amount_decimal_places,79146.77146434784
TransactionDayOfWeek,74573.16155433655
DeviceInfo_brand,66302.48055386543
amount_bucket_ProductCD,47514.16164922714
card4_card6,45017.5363035202
payment_familiarity_email_status,44167.11025381088
TransactionAmt_log,41162.34698057175
os_browser_combo,38828.8731443882
card4,38106.207783699036
id_31_browser_family,37707.32945203781
payment_familiarity_ProductCD,37098.889654159546
identity_completeness_ProductCD,34512.92594766617
id_33_screen_height,30812.175644874573
rare_payment_identifier_flag,29442.184931755066
amount_bucket_time_of_day,28997.12540435791
DeviceType_ProductCD,28328.85793018341
P_email_suffix,27673.035940170288
device_familiarity_ProductCD,27452.224368572235
proxy_ProductCD,26755.74148631096
id_33_screen_area,25546.8760638237
distance_signal_bucket,24719.848975658417
only_recipient_email_missing,22451.030700683594
id_33_aspect_ratio,22253.32669854164
ProductCD,18311.08818435669
id_33_screen_width,16151.672930717468
id_31_browser_version_available,15915.273170471191
id_30_os_family,15682.432612895966
night_ProductCD,12942.61703157425
emails_match,12871.903891563416
distance_bucket_ProductCD,12517.400887489319
is_large_dist1,12377.392845153809
screen_size_bucket,10690.388969898224
identity_missing_count,10110.10468006134
payment_identifier_familiarity_bucket,9575.022941589355
common_payment_identifier_flag,9062.7386302948
device_familiarity_bucket,8613.870873451233
email_relationship_status,6952.099538803101
is_mobile_device,6547.950359344482
time_of_day_bucket,6041.9429931640625
amount_bucket,5940.256982326508
both_emails_missing,5801.4699630737305
is_round_amount,5547.4359130859375
has_identity_info,5059.196989059448
missing_R_email,4919.897693634033
high_amount_ProductCD,4758.405710220337
missing_addr1,4609.596719741821
missing_P_email,4601.075846672058
addr_missing_count,4325.995099067688
id_30_os_version_available,4276.00343132019
is_business_hours,3707.364643573761
address_distance_status,3611.0425910949707
identity_completeness_bucket,3591.166058063507
same_email_suffix,3123.449697494507
rare_payment_identifier_large_distance,2797.238700866699
night_transaction_large_distance,2439.5324010849
email_domain_familiarity_bucket,2208.2986993789673
high_amount_rare_payment_identifier,1899.329294204712
device_missing,1672.4201955795288
rare_email_domain_flag,1401.3274235725403
DeviceType,1395.021816253662
email_mismatch_rare_payment_identifier,1097.5476093292236
is_weekend,969.5929050445557
id_23_anonymous_flag,941.2044956684113
night_transaction_missing_identity,896.7566156387329
is_desktop_device,893.7384204864502
high_amount_missing_identity,877.9667978286743
missing_dist1,867.0413403511047
rare_device_flag,820.7415404319763
network_proxy_type,729.257091999054
email_domain_mismatch,727.2783513069153
id_23_missing,549.3886089324951
same_email_provider,469.3616008758545
has_3_decimal_amount,468.5144987106323
high_amount_off_hours,459.1629800796509
high_amount_missing_email,450.44368743896484
screen_missing,445.0044918060303
email_mismatch_missing_identity,409.0600891113281
missing_identity_flag,356.38440704345703
id_23_transparent_flag,354.2518062591553
high_amount_large_distance,315.26380252838135
email_mismatch_proxy_flag,166.91490173339844
is_night,148.9095983505249
is_high_amount,140.61029815673828
id_23_hidden_flag,76.6511001586914
missing_addr2,70.42430114746094
rare_payment_identifier_proxy_flag,10.899499893188477
id_23_proxy_flag,0.0
proxy_and_rare_device,0.0
high_amount_rare_device,0.0
missing_address_and_distance,0.0
address_signal_available,0.0
unusual_screen_ratio,0.0
high_amount_proxy_flag,0.0
high_amount_rare_email_domain,0.0
