technical_feature,business_feature,mean_abs_shap
amount_cents,Amount includes cents,0.24605670334101049
TransactionAmt,Transaction amount,0.23669668370968394
TransactionHour,Transactionhour,0.19638051618989905
R_email_suffix,R Email Suffix,0.18630962091476505
email_mismatch_ProductCD,Email Mismatch Productcd,0.18594713086203785
amount_decimal_places,Amount Decimal Places,0.17428558416319478
amount_decimal,Amount Decimal,0.17412763402304704
P_email_provider,P Email Provider,0.17192178928770704
card6,Card type,0.17013459972246692
card4,Card network,0.09571659578897487
R_email_provider,R Email Provider,0.07137461499102647
payment_familiarity_email_status,Payment Familiarity Email Status,0.07067846117318966
P_email_suffix,P Email Suffix,0.06954130509460126
rare_payment_identifier_flag,Rare Payment Identifier Flag,0.055403345373651394
id_31_browser_version_available,Id 31 Browser Version Available,0.05520127373942143
only_recipient_email_missing,Only Recipient Email Missing,0.05434344030404149
DeviceInfo_brand,Device information: Brand,0.05056958896165692
TransactionDayOfWeek,Transactiondayofweek,0.04586464332478329
payment_familiarity_ProductCD,Payment Familiarity Productcd,0.04510185918034597
emails_match,Emails Match,0.04451227382054661
os_browser_combo,Os Browser Combo,0.03641614976941004
distance_signal_bucket,Distance / location profile: Bucket,0.03603770031931239
card4_card6,Card network: Card6,0.03498954808756122
amount_bucket_ProductCD,Amount Bucket Productcd,0.03370222592941517
id_31_browser_family,Id 31 Browser Family,0.031038376323922708
proxy_ProductCD,Proxy Productcd,0.030856017283580034
amount_bucket_time_of_day,Amount Bucket Time Of Day,0.029532613823531374
is_large_dist1,Is Large Dist1,0.029411141829748366
TransactionAmt_log,Transaction amount: Log,0.028654470547660384
identity_completeness_ProductCD,Identity Completeness Productcd,0.027828430848684613
common_payment_identifier_flag,Common Payment Identifier Flag,0.026046628106455933
night_ProductCD,Night Productcd,0.023026474586152937
has_identity_info,Has Identity Info,0.020491282046594644
is_round_amount,Is Round Amount,0.02035158789588109
missing_dist1,Missing Dist1,0.01875801022033487
id_30_os_family,Id 30 Os Family,0.01847553200471862
both_emails_missing,Both Emails Missing,0.0180337253558362
ProductCD,Transaction product type,0.01594080676991587
distance_bucket_ProductCD,Distance Bucket Productcd,0.01584720690002792
missing_P_email,Missing P Email,0.015515991477908019
device_familiarity_ProductCD,Device Familiarity Productcd,0.014893277146549208
id_33_screen_area,Id 33 Screen Area,0.014042331938147815
night_transaction_missing_identity,Night Transaction Missing Identity,0.01248742142767443
id_33_screen_height,Id 33 Screen Height,0.012335254121485598
identity_missing_count,Identity Missing Count,0.010774231590113115
same_email_suffix,Same Email Suffix,0.010366813202701433
id_33_screen_width,Id 33 Screen Width,0.008803588407724525
payment_identifier_familiarity_bucket,Payment Identifier Familiarity Bucket,0.008514368757384873
DeviceType_ProductCD,Device type: Productcd,0.008138922720459222
address_distance_status,Address Distance Status,0.007951942759128838
screen_size_bucket,Screen Size Bucket,0.007855444447960394
time_of_day_bucket,Time Of Day Bucket,0.007745581074659377
id_33_aspect_ratio,Id 33 Aspect Ratio,0.007704241201347848
