feature,importance
V_nonzero_count,677956.5720849037
V258,209786.74611473083
C14,151663.79917669296
C1,113882.27098321915
C13,105074.86256933212
V70,94762.85623407364
V294,91375.91030597687
V91,83286.25388717651
UID_TransactionAmt_count,72179.94864821434
TransactionDT,61298.28246355057
UID_TransactionAmt_std,58367.091362953186
UID3_TransactionAmt_count,57541.03328418732
V_zero_count,56184.69427061081
D_mean,50843.81926417351
V_block_10_nonzero_count,50597.43416261673
UID_TransactionAmt_median,50266.339146614075
UID3_TransactionAmt_std,48643.80111289024
P_emaildomain_ProductCD_TransactionAmt_dev,48212.3488740921
C11,47491.096081495285
card1,42771.4015083313
D1,41146.556488990784
C_nonzero_count,39847.47162103653
D2,38074.53708386421
card2_addr1_TransactionAmt_count,37507.98113298416
card2_addr1_TransactionAmt_std,37284.81062746048
card1_addr1_TransactionAmt_std,34995.63568639755
C2,34091.1241607666
TransactionDay,33681.6493704319
C6,33451.87225437164
card1_ProductCD_TransactionAmt_count,32860.19552564621
UID_TransactionAmt_mean,30854.65819835663
card1_addr1_TransactionAmt_count,30613.632061958313
card2_addr1,30199.592909812927
D15,30164.347870349884
UID2_TransactionAmt_std,29631.83936691284
card2_addr1_TransactionAmt_mean,29349.0319480896
P_emaildomain_ProductCD_TransactionAmt_zscore,29278.486518383026
card1_ProductCD_TransactionAmt_mean,29023.649572849274
card1_addr1_TransactionAmt_mean,28988.409549236298
addr1_ProductCD_TransactionAmt_count,28891.17078948021
C8,28688.3267493248
card1_addr1_TransactionAmt_median,28043.96543264389
addr1_card1,27817.593636751175
card2_ProductCD_TransactionAmt_std,26616.04245376587
UID2_TransactionAmt_median,24895.203279972076
C4,24443.847122192383
P_email_provider_card6_TransactionAmt_std,23670.52588558197
UID2_TransactionAmt_count,23492.900578022003
card3_TransactionAmt_count,23393.66068649292
card2,23128.05600309372
M4,22931.520728111267
card2_ProductCD_TransactionAmt_count,22582.547526836395
addr1_ProductCD_TransactionAmt_std,22387.266302108765
UID3_TransactionAmt_mean,22336.00729036331
addr1_P_email_provider,22322.716760635376
C5,22124.356365680695
UID3_TransactionAmt_median,21395.248443603516
C_std,21314.05617904663
V_block_4_std,21131.929389715195
UID2_TransactionAmt_mean,21030.35320210457
addr2_card1,21010.824315071106
C_sum,20768.945571422577
addr1_ProductCD_TransactionAmt_mean,19809.01952266693
card1_ProductCD_TransactionAmt_std,19797.017617940903
D10,19455.720093488693
D4,19084.548849582672
card1_addr2_TransactionAmt_count,18785.725669384003
addr1_TransactionAmt_count,18776.892579078674
card1_ProductCD_TransactionAmt_median,18150.58495235443
email_mismatch_card6,18002.697628974915
card2_addr1_TransactionAmt_median,17973.166653871536
M5_binary,17137.152273654938
V45,16882.053857803345
card2_TransactionAmt_mean,16635.78612947464
relative_month_day,16392.64762210846
addr1_TransactionAmt_std,16351.721722126007
card1_card2_TransactionAmt_count,16303.465296268463
V_missing_count,16153.541802406311
D3,15997.342794418335
M6,15909.68985748291
amount_decimal,15908.228880882263
V29,15748.211408138275
card2_ProductCD_TransactionAmt_median,15657.951681137085
id_02,15305.384651184082
card1_card2,15184.779167175293
card2_TransactionAmt_count,15063.203648090363
D_std,15021.990869045258
V312,14881.846455097198
R_emaildomain_ProductCD_TransactionAmt_dev,14584.253027439117
UID3,14567.24425649643
addr1_ProductCD_TransactionAmt_median,14544.90308189392
card1_TransactionAmt_mean,14356.927160263062
V_block_5_std,14289.776237010956
card2_TransactionAmt_std,14253.853333473206
dist1,13707.623187065125
card1_addr2_TransactionAmt_mean,13680.898361206055
card1_TransactionAmt_count,13500.932396411896
card2_card3,13398.286512374878
V187,13376.141137838364
card2_card3_TransactionAmt_count,13353.685953617096
C9,12939.053405284882
card1_addr1,12884.11276102066
DeviceType_ProductCD_TransactionAmt_zscore,12662.859974384308
R_emaildomain_ProductCD_TransactionAmt_zscore,12635.165222644806
V283,12547.510866641998
V189,12405.379162311554
card2_ProductCD_TransactionAmt_mean,12318.4128408432
TransactionHour,12013.390193223953
D_max,11902.306457042694
R_emaildomain_ProductCD_TransactionAmt_std,11872.615774154663
V_block_3_std,11610.796323776245
V_block_4_nonzero_count,11446.522181987762
D11,11149.73020362854
P_email_provider_card4,11149.550473690033
card1_TransactionAmt_std,11091.698409557343
id_20,10999.970312356949
card5_TransactionAmt_abs_dev,10999.326284885406
P_emaildomain_ProductCD_TransactionAmt_mean,10987.697532653809
addr1_TransactionAmt_mean,10958.690073013306
UID_TransactionAmt_abs_dev,10879.139658927917
P_email_provider_card4_TransactionAmt_count,10788.952043056488
card5_TransactionAmt_std,10612.671364307404
